what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.gmf.examples.runtime.diagram.geoshapes,1.2.0.v20100511-1355,"org.eclipse.gmf.examples.runtime.diagram.geoshapes",1414575018195
stopped,bundle,org.eclipse.gmf.examples.runtime.diagram.logic,1.2.1.v20110606-2230,"org.eclipse.gmf.examples.runtime.diagram.logic",1414575018196
stopped,bundle,org.eclipse.soa.sca.sca1_0.common,2.2.0.201106080505,"org.eclipse.soa.sca.sca1_0.common",1414575018197
stopped,bundle,org.eclipse.soa.sca.sca1_0.diagram,2.2.0.201106080505,"org.eclipse.soa.sca.sca1_0.diagram",1414575018198
stopped,bundle,org.eclipse.stp.bpmn.validation,1.2.0.201006151052,"org.eclipse.stp.bpmn.validation",1414575018199
stopped,bundle,org.eclipse.stp.im.tool.in.bpmneditor,1.0.0.201006151053,"org.eclipse.stp.im.tool.in.bpmneditor",1414575018199
stopped,bundle,org.eclipse.stp.bpmn.diagram,1.2.0.201006151052,"org.eclipse.stp.bpmn.diagram",1414575018200
stopped,bundle,org.eclipse.stp.sca.csa.diagram.extension,2.1.0.201006151053,"org.eclipse.stp.sca.csa.diagram.extension",1414575018201
stopped,bundle,org.eclipse.stp.sca.csa.diagram,2.1.0.201006151053,"org.eclipse.stp.sca.csa.diagram",1414575018202
stopped,bundle,org.eclipse.stp.sca.diagram.extension,2.1.0.201006151053,"org.eclipse.stp.sca.diagram.extension",1414575018202
stopped,bundle,org.eclipse.stp.sca.diagram.java,2.1.0.201006151053,"org.eclipse.stp.sca.diagram.java",1414575018203
stopped,bundle,org.eclipse.stp.sca.diagram.sca,2.1.0.201006151053,"org.eclipse.stp.sca.diagram.sca",1414575018204
stopped,bundle,org.eclipse.stp.sca.diagram,1.0.0.201006151053,"org.eclipse.stp.sca.diagram",1414575018206
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.render,1.4.1.v20101119-2230,"org.eclipse.gmf.runtime.diagram.ui.render",1414575018206
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.printing.render,1.4.1.v20101119-2230,"org.eclipse.gmf.runtime.diagram.ui.printing.render",1414575018207
stopped,bundle,org.eclipse.gmf.runtime.draw2d.ui.render.awt,1.4.1.v20101222-2230,"org.eclipse.gmf.runtime.draw2d.ui.render.awt",1414575018208
stopped,bundle,org.eclipse.stp.im.in.bpmn,1.0.0.201006151053,"org.eclipse.stp.im.in.bpmn",1414575018208
stopped,bundle,org.eclipse.stp.im.runtime.bpel,1.0.0.201006151053,"org.eclipse.stp.im.runtime.bpel",1414575018208
stopped,bundle,org.eclipse.stp.im.runtime.jbi.smx,1.0.0.201006151053,"org.eclipse.stp.im.runtime.jbi.smx",1414575018209
stopped,bundle,org.eclipse.stp.im.runtime,1.0.0.201006151053,"org.eclipse.stp.im.runtime",1414575018209
stopped,bundle,org.eclipse.stp.sca.csa.introspection.ui,2.1.0.201006151053,"org.eclipse.stp.sca.csa.introspection.ui",1414575018210
stopped,bundle,org.eclipse.stp.xef,1.0.0.201006151053,"org.eclipse.stp.xef",1414575018210
stopped,bundle,org.eclipse.m2e.model.edit,1.0.100.20110804-1717,"org.eclipse.m2e.model.edit",1414575018211
stopped,bundle,org.eclipse.soa.sca.sca1_0.runtime.frascati.model.edit,2.2.0.201106080505,"org.eclipse.soa.sca.sca1_0.runtime.frascati.model.edit",1414575018212
stopped,bundle,org.eclipse.soa.sca.sca1_0.runtime.tuscany.model.edit,2.2.0.201106080505,"org.eclipse.soa.sca.sca1_0.runtime.tuscany.model.edit",1414575018212
stopped,bundle,org.eclipse.soa.sca.sca1_0.model.edit,2.2.0.201106080505,"org.eclipse.soa.sca.sca1_0.model.edit",1414575018221
stopped,bundle,org.eclipse.soa.sca.sca1_0.runtime.frascati.model,2.2.0.201106080505,"org.eclipse.soa.sca.sca1_0.runtime.frascati.model",1414575018222
stopped,bundle,org.eclipse.soa.sca.sca1_0.runtime.tuscany.model,2.2.0.201106080505,"org.eclipse.soa.sca.sca1_0.runtime.tuscany.model",1414575018223
stopped,bundle,org.eclipse.soa.sca.sca1_1.common,2.2.0.201106080505,"org.eclipse.soa.sca.sca1_1.common",1414575018223
stopped,bundle,org.eclipse.soa.sca.sca1_1.runtime.fabric3.model.edit,2.2.0.201106080505,"org.eclipse.soa.sca.sca1_1.runtime.fabric3.model.edit",1414575018224
stopped,bundle,org.eclipse.soa.sca.sca1_1.runtime.fabric3.model,2.2.0.201106080505,"org.eclipse.soa.sca.sca1_1.runtime.fabric3.model",1414575018225
stopped,bundle,org.eclipse.soa.sca.core.common,2.2.0.201106080505,"org.eclipse.soa.sca.core.common",1414575018296
